design_array_name,design_file_name,num_runs,2,3,4,5,6
L4(2^3),L4_2_3,4,3,0,0,0,0
L8(2^7),L8_2_7,8,7,0,0,0,0
L9(3^4),L9_3_4,9,0,4,0,0,0
L12(2^11),L12_2_11,12,11,0,0,0,0
L16(2^16),L16_2_16,16,16,0,0,0,0
L16(4^16),L16_4_16,16,0,0,16,0,0
L18(2^1x3^7),L18_2_1_3_7,18,1,7,0,0,0
L25(5^6),L25_5_6,25,0,0,0,6,0
L27(3^13),L27_3_13,27,0,13,0,0,0
L32(2^32),L32_2_32,32,32,0,0,0,0
L32(2^1x4^9),L32_2_1_4_9,32,1,0,9,0,0
L36(2^11x3^12),L36_2_11_3_12,36,11,12,0,0,0
L36(2^3x3^13),L36_2_3_3_13,36,3,13,0,0,0
L50(2^1x5^11),L50_2_1_5_11,50,1,0,0,11,0
L8(2^4x4^1),L8_2_4_4_1,8,4,0,1,0,0
L16(2^12x4^1),L16_2_12_4_1,16,12,0,1,0,0
L16(2^9x4^2),L16_2_9_4_2,16,9,0,2,0,0
L16(2^6x4^3),L16_2_6_4_3,16,6,0,3,0,0
L16(2^2x4^5),L16_2_2_4_5,16,2,0,5,0,0
L18(3^6x6^1),L18_3_6_6_1,18,0,6,0,0,1
L54(2^1x3^25),L54_2_1_3_25,54,1,25,0,0,0
